episode_id,log_source,host_name,start,end,duration_s,n_alerts,mse_max,verdict,confidence,severity,title,mitre,rationale,recommendation,kb_refs,policy_flags
EP-c5edd4490c,auth,ASUS-X415JA,2026-08-10T06:39:22.490000+00:00,2026-08-10T06:39:35.376000+00:00,12.9,6,48.057,true_positive,0.85,high,Tentatives de connexion SSH avec comptes inconnus (brute‑force),T1110.001,,"Le modele n'a pas produit d'action exploitable : investigation manuelle requise (verifier processus, utilisateur et fenetre temporelle de l'episode).",,
EP-f7c1bfd1a8,auth,ASUS-X415JA,2026-08-10T06:45:12.171000+00:00,2026-08-10T06:45:14.296000+00:00,2.1,6,48.054,true_positive,0.86,high,"Manipulation de comptes locaux (création, modification, suppression) en 2s","T1136.001, T1098","Une séquence très rapide d'opérations sensibles (useradd, usermod, su, gpasswd, userdel) a été exécutée par l'utilisateur sentinel_u_1ff6747b en seulement 2,1 s, avec des scores de rareté élevés (user_rarity=50, event_type_seq>10). La création puis la suppression d'un compte local, combinée à des modifications de groupe et un changement d'identité (su), correspond aux signatures d'attaque décrites dans la base de connaissances sur la manipulation de comptes. Aucun contexte de changement légitime n'est fourni, ce qui indique une activité malveillante probable.","Vérifier l'existence d'un ticket de changement autorisant la création/suppression du compte. | Lister le compte créé avec getent passwd et examiner ses droits (groupes, sudo). | Auditer les fichiers /etc/passwd, /etc/shadow, /etc/group et /etc/sudoers.d/ pour traces résiduelles. | Analyser les logs d'authentification (ausearch) pour identifier la session d'origine du compte sentinel_u_1ff6747b. | Isoler l'hôte du réseau jusqu'à clarification de l'incident.","threat-account-manipulation, ref-features","processus sensible: useradd, userdel, usermod"
EP-6338f848db,auditd,asus-x415ja,2026-08-10T06:50:47.562000+00:00,2026-08-10T06:50:52.225000+00:00,4.7,13,45.18,true_positive,0.86,high,Execution d'un binaire inconnu avec modification de permissions (chmod),"T1222.002, T1059.004",,"Le modele n'a pas produit d'action exploitable : investigation manuelle requise (verifier processus, utilisateur et fenetre temporelle de l'episode).",,
EP-20d939777d,auditd,asus-x415ja,2026-08-10T07:35:42.576000+00:00,2026-08-10T07:35:45.998000+00:00,3.4,6,44.878,true_positive,0.86,high,Execution d'un binaire inconnu sentinel_shm_1f après chmod,"T1222.002, T1564.001, T1027",,"Le modele n'a pas produit d'action exploitable : investigation manuelle requise (verifier processus, utilisateur et fenetre temporelle de l'episode).",,
EP-eef654533c,auditd,asus-x415ja,2026-08-10T07:02:00.151000+00:00,2026-08-10T07:02:05.500000+00:00,5.3,3,43.109,uncertain,0.6,high,Execution d'insmod par root suivi de groups et wc,,"L'exécution d'insmod par l'utilisateur root est marquée comme processus sensible (POLICY_FLAGS). Bien que les autres commandes (groups, wc) soient bénignes, l'insertion d'un module noyau peut indiquer une tentative de persistance ou d'escalade. Les features dominantes (proc_rarity, exe_path_rarity, parent_child_rarity) sont élevées, mais elles ne permettent pas de distinguer une opération légitime (ex. chargement d'un driver) d'une activité malveillante. En l'absence d'information sur le nom du module, son origine ou un contexte d'administration, le verdict ne peut être tranché.","Identifier le module chargé par insmod (ex. dmesg, /var/log/kern.log, journalctl -k) | Vérifier si le module correspond à un driver ou composant légitime installé sur le poste | Comparer l'heure d'exécution avec les tâches de maintenance planifiées (cron, systemd) | Si le module est inconnu, isoler l'hôte du réseau et analyser le binaire du module | Consigner l'événement et le soumettre à l'équipe SOC pour validation humaine","ref-features, baseline-desktop-session",processus sensible: insmod
EP-518abd36eb,syslog,ASUS-X415JA,2026-08-10T07:18:48.696000+00:00,2026-08-10T07:18:49.122000+00:00,0.4,5,47.227,uncertain,0.6,medium,Processus inconnu à rareté élevée (sentinel_1ff6747b_daemon2),,"Le processus sentinel_1ff6747b_daemon2 apparaît 5 fois en 0,4 s avec une rareté de processus maximale (proc_rarity=50). Aucun utilisateur ni adresse IP n'est associé, et le nom ne correspond à aucun service système connu du poste de travail. Selon la règle d'or, une rareté d'identité seule n'est pas suffisante pour conclure à un faux‑positif lorsqu'il s'agit d'un binaire non répertorié. En l'absence d'informations complémentaires (chemin d'exécution, processus parent, uid, logs d'audit), il est impossible de déterminer si l'activité est bénigne ou malveillante.","Collecter le chemin complet du binaire (ex. via ps -eo pid,comm,args) | Identifier le processus parent et l'uid qui l'a lancé | Vérifier la présence du fichier sur le disque (hash, permissions, localisation) | Analyser les logs d'audit ou systemd pour détecter la création du service | Comparer le hash du binaire avec des bases de renseignements sur les malwares","ref-features, baseline-desktop-session",
EP-0c02a5c665,auditd,asus-x415ja,2026-08-10T06:45:12.149000+00:00,2026-08-10T06:45:16.833000+00:00,4.7,36,45.18,uncertain,0.6,medium,Manipulation de comptes locaux (useradd/usermod/userdel) - contexte incertain,,"Une série d'opérations sensibles (useradd, usermod, userdel, gpasswd, su) a été exécutée par root en moins de 5 secondes, avec des scores de rareté très élevés (proc_rarity, exe_path_rarity, parent_child_rarity). La présence de processus sensibles déclenche les POLICY_FLAGS, ce qui empêche de conclure à un faux‑positif sans validation humaine. Le dossier ne fournit aucune indication de changement planifié, de ticket d'approbation ou d'opérateur légitime, il est donc impossible de trancher entre une activité d'administration légitime et une tentative d'escalade/persistence. Le verdict reste donc incertain.","Vérifier l'existence d'un ticket ou d'une procédure de changement correspondant à ces modifications de comptes. | Identifier l'identité de l'opérateur (auid, session) via ausearch -ua <auid> et les logs d'authentification (last, journalctl). | Lister les comptes créés/supprimés et leurs appartenances (getent passwd, groups, /etc/group). | Auditer les fichiers sudoers et les groupes d'administration pour détecter d'éventuelles élévations (usermod -aG sudo). | Surveiller les connexions réseau post‑événement pour détecter d'éventuels mouvements latéraux.","ref-features, threat-account-manipulation","processus sensible: useradd, userdel, usermod; modification de configuration d'audit/mot de passe"
EP-48cb1b9ca9,auditd,asus-x415ja,2026-08-10T07:41:18.675000+00:00,2026-08-10T07:41:18.675000+00:00,0.0,1,45.179,uncertain,0.45,medium,Execution d'un binaire inconnu sentinel_vb_1ff en tant que root,,"Le processus sentinel_vb_1ff s'est exécuté une seule fois, en tant que root, avec des scores de rareté maximale (proc_rarity=50, exe_path_rarity=50). Aucun des baselines fournis (desktop session ou logrotate) ne répertorie ce binaire, ce qui empêche de conclure à une activité bénigne. En l'absence d'informations supplémentaires (chemin, hash, contexte d'installation), il n'est pas possible de déterminer s'il s'agit d'un outil légitime ou d'un artefact malveillant.","Localiser le fichier binaire (ex. find / -name 'sentinel_vb_1ff' -ls) | Calculer son hash et le comparer aux bases de signatures connues | Vérifier le chemin d'installation (sous /usr/bin, /opt, /tmp, etc.) | Rechercher toute persistance associée (cron, systemd, scripts de démarrage) | Surveiller les connexions réseau sortantes du processus","ref-features, baseline-desktop-session",
EP-989dcbe8ba,auth,ASUS-X415JA,2026-08-10T07:30:03.405000+00:00,2026-08-10T07:30:03.405000+00:00,0.0,1,13.344,uncertain,0.52,medium,Connexion SSH suspecte avec compte rare depuis localhost,,"Une unique tentative de connexion SSH a été enregistrée pour l'utilisateur ""bad_1ff6747b_1"", jamais vu auparavant (user_rarity élevé). Le processus est le service légitime sshd et l'adresse source est 127.0.0.1, ce qui correspond à un accès local. Le score de rareté provient surtout du nom d'utilisateur et d'un léger indicateur d'échec (is_fail=3.5), mais aucune série d'échecs, aucune indication de succès, ni d'autres activités associées. Sans ces éléments, il est impossible de conclure si l'événement est bénin (ex. compte créé pour un usage interne) ou malveillant (tentative d'accès non autorisée).","Vérifier dans /var/log/auth.log si la connexion a abouti (Accepted) ou a échoué (Failed) | Confirmer l'existence du compte ""bad_1ff6747b_1"" et son origine (getent passwd, historique des créations de compte) | Rechercher d'éventuelles tentatives supplémentaires depuis le même hôte ou le même compte dans les minutes précédentes et suivantes | Si la connexion a réussi et le compte n'est pas légitime, désactiver le compte et enquêter sur la source locale | Documenter toute création de compte prévue pour éviter de futurs faux positifs",ref-features,
EP-78c628e751,auditd,asus-x415ja,2026-08-10T07:07:36.836000+00:00,2026-08-10T07:07:40.516000+00:00,3.7,7,45.18,false_positive,0.65,info,Séquence d'administration root avec setcap/getcap – probable tâche légitime,,"Les événements se limitent à des commandes courantes exécutées par root (cp, setcap, getcap, rm, ss, find, du) sans arguments ou chemins inhabituels. Les seules caractéristiques rares sont les appels setcap/getcap, mais ces opérations sont légitimes lorsqu'un administrateur ajuste les capacités d'un binaire. Aucun indicateur de persistance, d'obfuscation ou de communication externe n'est présent. Le modèle ne détecte que la rareté statistique, pas la malveillance.","Surveiller la présence de fichiers modifiés par setcap dans /usr/bin ou /usr/local/bin. | Vérifier le contenu des commandes (ex. cp, rm) via auditd logs complets. | Aucune action immédiate requise si aucune anomalie supplémentaire n'apparaît.",ref-features,
EP-6f8adbd38a,auditd,asus-x415ja,2026-08-10T06:39:21.128000+00:00,2026-08-10T06:39:40.761000+00:00,19.6,13,45.18,false_positive,0.92,info,Exécution de commandes d'administration courantes par root,,"Toutes les commandes observées (sh, bash, seq, ssh, ps, free, df, uptime, find) sont des utilitaires standards exécutés par l'utilisateur root sur une courte fenêtre de 20 s. Les features dominantes sont uniquement des raretés d'identité (parent_child_rarity, proc_rarity, exe_path_rarity) sans présence de processus cachés, de modifications d'authentification ou de persistance. Selon la règle d'or du <kb id=""ref-features"">, un épisode dont les acteurs sont des services système connus et les features sont purement d'identité est très probablement un faux‑positif.",Aucune action immédiate requise ; ajouter cette séquence à la baseline pour diminuer le bruit | Surveiller les connexions SSH sortantes inhabituelles mais aucune anomalie directe n'est détectée,ref-features,
EP-de4251fd91,auditd,asus-x415ja,2026-08-10T06:56:24.214000+00:00,2026-08-10T06:56:29.042000+00:00,4.8,8,45.18,false_positive,0.92,info,"Exécution de diagnostics système (strace, groups, ss) par root",,"Toutes les actions observées (strace, groups, ss, true) sont des utilitaires système légitimes exécutés par l'utilisateur root sur un poste de travail Ubuntu. Les features dominantes (exe_path_rarity, proc_rarity, parent_child_rarity) correspondent à la rareté d'identité, ce qui, selon la règle d'or du KB, indique un fort candidat faux‑positif lorsqu'aucun processus caché ou sensible n'est présent. Aucun indicateur de compromission (binaire caché, modification d'authentification, création de compte, etc.) n'apparaît, donc l'épisode est considéré bénin.",Ajouter ces commandes à la baseline de diagnostic système pour réduire le bruit futur | Surveiller la fréquence d'exécution de strace en tant que root et alerter uniquement en cas d'exécution inhabituelle ou hors des fenêtres de maintenance habituelles,"ref-features, baseline-desktop-session",
EP-bab4754c26,auditd,asus-x415ja,2026-08-10T07:30:11.670000+00:00,2026-08-10T07:30:11.670000+00:00,0.0,1,27.478,false_positive,0.85,info,Exécution isolée de la commande env par root,,"L'événement consiste en une unique exécution de la commande standard `env` par l'utilisateur root. Les seules features dominantes sont des indicateurs de rareté d'identité (parent_child_rarity) qui, selon la règle d'or, sont typiques d'activités bénignes lorsqu'elles proviennent de services système connus. Aucun indicateur de compromission (binaire caché, modification de crontab, échec d'authentification, etc.) n'est présent. Ainsi, l'événement correspond à un comportement administratif légitime (ex. vérification de l'environnement) plutôt qu'à une activité malveillante.",Aucun besoin d'action immédiate ; ajouter cet événement à la baseline pour réduire le bruit futur.,ref-features,
EP-0750f1a308,auditd,asus-x415ja,2026-08-10T07:18:48.692000+00:00,2026-08-10T07:18:54.637000+00:00,5.9,6,27.461,false_positive,0.92,info,"Exécution de commandes système courantes (logger, free, uptime, who, du)",,"Les processus observés (logger, free, uptime, who, du) sont des binaires standards du système exécutés par root, sans arguments inhabituels. Les features dominantes (exe_path_rarity, parent_child_rarity) correspondent à la rareté d'identité, ce qui selon le <kb id=""ref-features""> indique un fort indice de faux‑positif lorsque les acteurs sont des services connus. Aucun indicateur de compromission (binaire caché, modification d'auth, création de compte, etc.) n'est présent, donc l'épisode est considéré comme bénin.",Ajouter cette séquence à la baseline de surveillance pour réduire le bruit futur | Vérifier que ces commandes font partie d'un script de monitoring ou d'une tâche cron légitime | Surveiller d'éventuelles variations d'arguments ou de chemins hors /usr/bin | Aucun besoin d'intervention immédiate,"ref-features, baseline-desktop-session",
EP-9b43104acd,auditd,asus-x415ja,2026-08-10T07:13:13.207000+00:00,2026-08-10T07:13:13.208000+00:00,0.0,2,27.405,false_positive,0.93,info,Exécution ponctuelle de la commande stat par root,,"Les deux événements proviennent du même binaire système « stat », exécutés par l'utilisateur root, avec comme feature dominante uniquement parent_child_rarity, ce qui correspond à un cas typique de rareté d'identité. Aucun indicateur de compromission (fichier caché, modification de comptes, échec d'authentification, etc.) n'est présent. Selon le <kb id=""ref-features""> et le <kb id=""baseline-desktop-session"">, ce type d’activité est un candidat fort de faux‑positif sur un poste de travail Ubuntu.",Ajouter cette séquence à la baseline pour réduire le bruit futur | Surveiller d'éventuelles répétitions inhabituelles mais aucune action immédiate n'est requise,"ref-features, baseline-desktop-session",
